time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mean_stress,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.003,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.007,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.015,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.031,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.063,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.127,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.255,0,0,0,0,-1.0456664106068e-07,0,-15200683.170793,14397950.495797,0,293.15,293.15,-1.0456664106068e-07
0.511,0,0,0,0,-5.343497821277e-05,0,-15549108.524596,13352674.427288,0,293.15,293.15,-5.343497821277e-05
1.023,0,0,0,0,-5.343497821277e-05,0,-15549108.524596,13352674.427288,0,293.15,293.15,-5.343497821277e-05
2.047,0,0,0,0,-0.00021407080889945,0,-16598595.956286,10204212.150127,0,293.15,293.15,-0.00021407080889945
4.095,0,0,0,0,-0.00042829205790324,0,-17998174.777413,6005475.6642548,0,293.15,293.15,-0.00042829205790324
8.191,0,0,0,0,-0.00085687219859017,0,-20798231.696625,2394695.0931542,0,293.15,293.15,-0.00085687219859017
13.191,0,0,0,0,-0.0013802903379985,0,-24217896.873651,12653690.625975,0,293.15,293.15,-0.0013802903379985
18.191,0,0,0,0,-0.0019039825873356,0,-27639352.902677,22918058.712961,0,293.15,293.15,-0.0019039825873356
23.191,0,0,0,0,-0.0024279492338501,0,-31062601.659915,33187804.984637,0,293.15,293.15,-0.0024279492338501
28.191,0,0,0,0,-0.0029521905652426,0,-34487645.02487,43462935.080066,0,293.15,293.15,-0.0029521905652426
33.191,0,0,0,0,-0.0034767068696138,0,-37914484.878418,53743454.647329,0,293.15,293.15000000001,-0.0034767068696138
38.191,0,0,0,0,-0.0040014984357277,0,-41343123.111639,64029369.341952,0,293.15,293.15,-0.0040014984357277
43.191,0,0,0,0,-0.0045265655524885,0,-44773561.607252,74320684.830991,0,293.15,293.15,-0.0045265655524885
48.191,0,0,0,0,-0.0050519085094659,0,-48205802.259718,84617406.787545,0,293.15,293.15,-0.0050519085094659
53.191,0,0,0,0,-0.0055775275966334,0,-51639846.961977,94919540.896567,0,293.15,293.15,-0.0055775275966334
58.191,0,0,0,0,-0.0061034231044219,0,-55075697.613074,105227092.84902,0,293.15,293.15,-0.0061034231044219
63.191,0,0,0,0,-0.0066295953237209,0,-58513356.111925,115540068.34782,0,293.15,293.15,-0.0066295953237209
68.191,0,0,0,0,-0.0071560445458796,0,-61952824.363575,125858473.10193,0,293.15,293.15,-0.0071560445458796
73.191,0,0,0,0,-0.007682771062707,0,-65394104.273333,136182312.83192,0,293.15,293.15,-0.007682771062707
78.191,0.011481166526388,0.011481166411719,0.0050427757857798,0.0050427756992601,-0.0082097750021736,1,-68837196.677272,146511590.04601,-1.6430023953732e-10,293.15000082612,293.15000211563,-0.0082097751664738
83.191,116.09876114109,116.10711618103,51.004514710134,51.004487680833,-0.0087355047355982,1,-72271964.268809,156815892.82129,-1.5524143148876e-06,293.15835404822,293.17139447103,-0.0087370571499131
88.191,896.41508326056,896.90304585217,393.75297753063,393.74687166432,-0.0092518062795181,2,-75645134.355578,166935403.08229,-1.2811026703034e-05,293.21451311098,293.3152354303,-0.0092646173062211
