time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,RedbackElementAverageValue,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
23.511,0,0,0,0,-47564573.203259,-0.0024066974840708,0,37564573.204892,0,293.15,293.15,-0.0024066974840708
24.011,0,0,0,0,-48517736.237583,-0.0024579428084948,0,38517736.239082,0,293.15,293.15,-0.0024579428084948
24.511,0,0,0,0,-49470948.12008,-0.0025091907591694,0,39470948.121758,0,293.15,293.15,-0.0025091907591694
25.011,0,0,0,0,-50424208.854981,-0.0025604413363149,0,40424208.856681,0,293.15,293.15,-0.0025604413363149
25.511,0,0,0,0,-51377518.447576,-0.0026116945402165,0,41377518.449189,0,293.15,293.15,-0.0026116945402165
26.011,0,0,0,0,-52330876.902789,-0.002662950371144,0,42330876.904536,0,293.15,293.15,-0.002662950371144
26.511,0,0,0,0,-53284284.225712,-0.002714208829366,0,43284284.227483,0,293.15,293.15,-0.002714208829366
27.011,0,0,0,0,-54237740.421333,-0.0027654699151524,0,44237740.423123,0,293.15,293.15,-0.0027654699151524
27.511,0,0,0,0,-55191245.494659,-0.0028167336287724,0,45191245.496475,0,293.15,293.15,-0.0028167336287724
28.011,0,0,0,0,-56144799.450701,-0.0028679999704954,0,46144799.452537,0,293.15,293.15,-0.0028679999704954
28.511,0,0,0,0,-57098402.294468,-0.0029192689405908,0,47098402.296331,0,293.15,293.15,-0.0029192689405908
29.011,0,0,0,0,-58052054.03098,-0.0029705405393284,0,48052054.032866,0,293.15,293.15,-0.0029705405393284
29.511,0,0,0,0,-59005754.665251,-0.0030218147669777,0,49005754.667159,0,293.15,293.15,-0.0030218147669777
30.011,0,0,0,0,-59959504.202293,-0.0030730916238082,0,49959504.20422,0,293.15,293.15,-0.0030730916238082
30.511,0,0,0,0,-60913302.647156,-0.0031243711100897,0,50913302.648986,0,293.15,293.15,-0.0031243711100897
31.011,0,0,0,0,-61867150.004753,-0.0031756532260918,0,51867150.006731,0,293.15,293.15,-0.0031756532260918
31.511,0,0,0,0,-62821046.280193,-0.0032269379720835,0,52821046.282192,0,293.15,293.15,-0.0032269379720835
32.011,0,0,0,0,-63774991.478474,-0.0032782253483355,0,53774991.480499,0,293.15,293.15,-0.0032782253483355
32.511,0,0,0,0,-64728985.604614,-0.0033295153551176,0,54728985.606661,0,293.15,293.15,-0.0033295153551176
33.011,0,0,0,0,-65683028.663632,-0.0033808079926994,0,55683028.665696,0,293.15,293.15,-0.0033808079926994
33.511,0,0,0,0,-66637120.660545,-0.0034321032613509,0,56637120.662627,0,293.15,293.15,-0.0034321032613509
34.011,0,0,0,0,-67591261.600364,-0.0034834011613417,0,57591261.602478,0,293.15,293.15,-0.0034834011613417
34.511,0,0,0,0,-68545451.488124,-0.0035347016929421,0,58545451.490263,0,293.15,293.15,-0.0035347016929421
35.011,0,0,0,0,-69499690.328849,-0.0035860048564222,0,59499690.331006,0,293.15,293.15,-0.0035860048564222
