time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mean_stress,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,-1.0252193508366e-07,0,-22800660.253915,21598019.288202,0,293.15,293.15,-1.0252193508366e-07
0.003,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.007,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.015,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.031,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.063,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.127,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.255,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
0.511,0,0,0,0,-3.0756583686189e-07,0,-22801980.722856,21594057.826958,0,293.15,293.15,-3.0756583686189e-07
1.023,0,0,0,0,-0.0001048854329703,0,-23475462.187088,19573613.433838,0,293.15,293.15,-0.0001048854329703
2.047,0,0,0,0,-0.00020988441147492,0,-24151655.608632,17545033.169105,0,293.15,293.15,-0.00020988441147492
4.095,0,0,0,0,-0.00041991543936086,0,-25504255.428183,13487233.710316,0,293.15,293.15,-0.00041991543936086
8.191,0,0,0,0,-0.00084010980632051,0,-28210307.151424,5369078.5406752,0,293.15,293.15,-0.00084010980632051
13.191,0,0,0,0,-0.0013532817548103,0,-31515134.499631,4545403.5042101,0,293.15,293.15,-0.0013532817548103
18.191,0,0,0,0,-0.0018667171838729,0,-34821658.66262,14464975.993865,0,293.15,293.15,-0.0018667171838729
23.191,0,0,0,0,-0.0023804163642072,0,-38129881.383511,24389644.158361,0,293.15,293.15,-0.0023804163642072
28.191,0,0,0,0,-0.0028943795669303,0,-41439804.409157,34319413.234868,0,293.15,293.15,-0.0028943795669303
33.191,0,0,0,0,-0.0034086070635771,0,-44751429.487386,44254288.470252,0,293.15,293.15,-0.0034086070635771
38.191,0,0,0,0,-0.0039230991261015,0,-48064758.369855,54194275.118402,0,293.15,293.15,-0.0039230991261015
43.191,0,0,0,0,-0.0044378560268775,0,-51379792.810694,64139378.441543,0,293.15,293.15,-0.0044378560268775
48.191,0,0,0,0,-0.0049528780387001,0,-54696534.566641,74089603.710138,0,293.15,293.15,-0.0049528780387001
53.191,0,0,0,0,-0.0054681654347859,0,-58014985.397259,84044956.202679,0,293.15,293.15,-0.0054681654347859
58.191,0,0,0,0,-0.0059837184887743,0,-61335147.064787,94005441.205885,0,293.15,293.15,-0.0059837184887743
63.191,0,0,0,0,-0.0064995374747278,0,-64657021.334156,103971064.01467,0,293.15,293.15,-0.0064995374747278
68.191,0,0,0,0,-0.0070156226671331,0,-67980609.973085,113941829.93209,0,293.15,293.15,-0.0070156226671331
73.191,0,0,0,0,-0.0075319743409023,0,-71305914.751646,123917744.2698,0,293.15,293.15,-0.0075319743409023
78.191,0,0,0,0,-0.0080485927713736,0,-74632937.44403,133898812.34636,0,293.15,293.15,-0.0080485927713736
83.191,0,0,0,0,-0.0085654782343124,0,-77961679.825181,143885039.49051,0,293.15,293.15,-0.0085654782343124
88.191,0,0,0,0,-0.0090826310059113,0,-81292143.674086,153876431.03798,0,293.15,293.15,-0.0090826310059113
93.191,4.225076622852,4.2250874241336,1.857903639011,1.8579036256511,-0.0095999973055215,1,-84623982.644288,163871947.94577,-5.4057273253551e-08,293.15030994822,293.15079061063,-0.0096000513627948
98.191,204.03219922473,204.05723353068,89.732094597588,89.731995215107,-0.010115224546395,2,-87942046.074141,173826138.24076,-2.5150356113443e-06,293.164968248,293.18818195922,-0.010117739582007
103.191,1071.4400172418,1072.117960658,471.13627998234,471.12804077303,-0.010620945249848,2,-91198887.404202,183596662.23163,-1.4750691188342e-05,293.22861699227,293.35056875171,-0.010635695941036
108.191,3072.1019277338,3077.5089707286,1349.9587461898,1349.8173298812,-0.011105790222011,2,-94321289.024771,192963867.09407,-4.8130495782747e-05,293.37550212431,293.72547971886,-0.011153920717794
113.191,6497.3829592652,6520.5272745864,2851.3285320852,2850.2373089635,-0.011556736378181,2,-97225382.27035,201676146.83321,-0.00011567781244617,293.62721924216,294.36846317618,-0.011672414190627
118.191,11336.335554924,11402.805983772,4965.0443389241,4959.9855182182,-0.011962050327742,3,-99835604.10537,209506812.35509,-0.00022912631058162,293.98327580613,295.27894765826,-0.012191176638323
123.191,17258.445360205,17401.782350862,7540.0622865935,7523.7280829435,-0.012313794165824,3,-102100834.42294,216302503.39027,-0.00039641417432831,294.41962125528,296.39609833792,-0.012710208340152
128.191,23725.935412696,23974.700484445,10337.260874409,10297.026304331,-0.012609026084217,3,-104002127.97685,222006384.34026,-0.00062048349174003,294.89668235583,297.61887425643,-0.013229509575957
133.191,30168.813361126,30533.830749301,13108.325726697,13027.778146025,-0.012849521423326,3,-105550917.96066,226652755.00251,-0.00089955920296696,295.37220944059,298.83873634813,-0.013749080626293
138.191,36130.47577594,36600.790954233,15658.75974383,15521.371637506,-0.013040491899161,3,-106780767.82497,230342305.97364,-0.0012284298733693,295.81217054253,299.96780925183,-0.01426892177253
143.191,41333.652221387,41882.144428931,17874.107578955,17667.065672871,-0.013189000301382,3,-107737161.93523,233211490.50962,-0.0016000329954698,296.19582405481,300.95229258416,-0.014789033296852
148.191,45672.887046164,46266.238448461,19714.177437236,19430.61777936,-0.013302596092728,3,-108468718.83147,235406164.24132,-0.0020068193893851,296.51527415448,301.77158362084,-0.015309415482114
153.191,49168.012548667,49775.390317838,21191.470369021,20830.684646673,-0.013388395357822,3,-109021266.09859,237063809.79323,-0.0024416732538294,296.77202818928,302.42948573377,-0.015830068611651
158.191,51910.850303998,52508.728168709,22347.836577557,21914.05591681,-0.01345259718041,3,-109434725.83514,238304193.25157,-0.0028983957886884,296.97299448129,302.94384684412,-0.016350992969099
163.191,54022.632420561,54595.983045982,23236.419991737,22737.054191851,-0.01350032264793,3,-109742077.84691,239226253.79569,-0.0033718661902878,297.1272711347,303.33820417927,-0.016872188838218
168.191,55626.6668783,56167.923602727,23910.368301557,23354.346691066,-0.01353564875107,3,-109969577.95113,239908758.69347,-0.0038580077519797,297.24408616416,303.63641797576,-0.01739365650305
173.191,56833.979708235,57341.115211368,24417.074291517,23813.589578626,-0.01356173729713,3,-110137588.18775,240412793.91901,-0.0043536589505913,297.33172188422,303.85987430539,-0.017915396247721
178.191,57737.732488172,58212.309841103,24796.060741881,24153.765224463,-0.013580994788474,3,-110261606.432,240784853.00948,-0.0048564135681282,297.39710380395,304.02642368769,-0.018437408356603
183.191,58412.668750994,58858.253804869,25078.906769751,24405.485366186,-0.013595228301686,3,-110353270.25709,241059848.63953,-0.0053644648126536,297.4457680892,304.15030632506,-0.01895969311434
188.191,58916.984408384,59338.012263386,25290.131465053,24592.140960968,-0.013605781637817,3,-110421233.74177,241263743.03129,-0.0058764691680892,297.48200934404,304.2425446146,-0.019482250805906
193.191,59295.066530438,59696.112164194,25448.40010894,24731.273989329,-0.013613647066669,3,-110471887.10358,241415706.84229,-0.0063914346499725,297.50909108397,304.31149563682,-0.020005081716641
198.191,59580.284541924,59965.641109589,25567.726489492,24835.869772075,-0.013619553545852,3,-110509924.82952,241529823.54873,-0.006908632586433,297.52945785209,304.36340498683,-0.020528186132285
200,59674.147487455,60054.440407747,25606.982619758,24870.311087637,-0.013621492287339,3,-110522410.32469,241567281.31,-0.007096020515944,297.53615593434,304.38049132505,-0.020717512803283

