time,Gruntfest_number,mises_strain,mises_stress,strain_rate,temp_centre
0,0,0,0,0,0
0.001,0,4.5399929762487e-08,0.0042830431712927,0,2.5184792930851e-14
0.0021,0,4.9939922738754e-08,0.0089946410112797,0,9.9645322928739e-14
0.00331,0.005919949184895,5.4937856382575e-08,0.014176027984349,1.8960497988266e-05,7.1890804898101e-06
0.004399,0.016648511438542,4.9453045273232e-08,0.018837814508123,4.0133777869685e-05,2.536489330157e-05
0.0053791,0.030015862811571,4.4520849740879e-08,0.023032155226158,5.9198308810684e-05,5.4853166714628e-05
0.00626119,0.045050890770021,4.0084710117093e-08,0.026806166548761,7.6372061165732e-05,9.4692637304036e-05
0.007055071,0.06101542350549,3.6093745523643e-08,0.030202266261189,9.1849465789629e-05,0.00014327274444277
0.0077695639,0.077348453777683,3.2502361573561e-08,0.033257468485883,0.00010579848310749,0.00019871851124423
0.00841260751,0.093642796324342,2.9269785021496e-08,0.036006901627466,0.00011837710662124,0.00025916195445715
0.008991346759,0.10959757830924,2.635956576683e-08,0.038480976184913,0.00012972096955361,0.00032286445417611
0.0096279599329,0.12855795484179,2.9019340862399e-08,0.041201927147028,0.00014223069781911,0.0004051195704708
0.01032823442419,0.15111956411281,3.195521200658e-08,0.044194331464704,0.00015603697196813,0.00051158161874805
0.011098536364609,0.17799914869765,3.519921062428e-08,0.047485191083334,0.00017128986277144,0.00064969508241397
0.01194586849907,0.21005962119894,3.8788559660382e-08,0.051104188338442,0.00018816379049729,0.00082928447019453
0.012708467420085,0.2411459423338,3.497447115677e-08,0.054360504351218,0.00020344707262536,0.0010151598360558
0.013394806448998,0.27093056653828,3.1536159782793e-08,0.057290588332359,0.00021729254608493,0.0012034467613646
0.01401251157502,0.29919915438934,2.84356163945e-08,0.059927147232967,0.0002298360734716,0.001390921967831
0.014691987213644,0.33189302455043,3.1350689162241e-08,0.062826725661441,0.00024374004934353,0.0016201827923541
0.015439410416131,0.3697890092768,3.4582626096281e-08,0.066015490191622,0.00025917883577212,0.0019019280539606
0.016261575938866,0.4138112582123,3.817282537775e-08,0.069522186318207,0.00027635919577843,0.0022499103232227
0.017165958013875,0.46506041063412,4.21708357035e-08,0.0733783887295,0.00029552991983167,0.0026818999998959
0.018160778296385,0.52484853092654,4.6636968546099e-08,0.077618766451166,0.00031699537531436,0.0032209912701029
0.019255080607145,0.5947417951665,5.1646061543109e-08,0.08228141998449,0.00034113522689607,0.0038973921817663
0.020458813148982,0.67660993019313,5.7293008250229e-08,0.087408125905235,0.00036843270828092,0.0047509101624768
0.021782918945002,0.77268745964732,6.3701063745803e-08,0.093044730098783,0.00039951774801365,0.0058344634701011
0.023239435320625,0.88564579931153,7.103463076066e-08,0.099241487049478,0.00043523273780791,0.007219141811518
0.024841603333809,1.0186781540134,7.9519515233798e-08,0.10605335923366,0.00047673630513504,0.0090016800612898
0.026603988148313,1.1756063313943,8.9476140506593e-08,0.11354060607703,0.00052567485710716,0.011315854703499
0.028542611444266,1.3609943764039,1.0137628589064e-07,0.12176876121527,0.00058447156659797,0.014350485959678
0.030675097069815,1.580300380544,1.1594520458078e-07,0.13080939397233,0.00065685178936249,0.018379349912346
0.032594334132809,1.7913859673449,1.0872616364441e-07,0.13893602747118,0.00073043189935853,0.022660889677993
0.034321647489503,1.9924153899435,1.0210473568545e-07,0.14624147286652,0.0008053489340695,0.027131934801768
0.035876229510528,2.1822274372461,9.5968902318371e-08,0.15280823423825,0.00088159707532268,0.031733782668422
0.037275353329451,2.3602047763156,9.0231567801904e-08,0.15871092179451,0.00095905877724676,0.036412629851426
0.038814389530266,2.5636960451401,1.0482388752126e-07,0.16519350843258,0.0010570243311472,0.042315680188515
0.040507329351162,2.7967484520174,1.2357925403726e-07,0.17230954601104,0.0011848083857613,0.049905953775533
0.042030975189969,3.0146652721984,1.1941726431758e-07,0.17869989166421,0.0013222022758886,0.057810724964708
0.043402256444895,3.2172823360408,1.1553286845326e-07,0.18443751831905,0.0014696669447156,0.065971202438223
0.044910665825313,3.447012326651,1.3929684761232e-07,0.19072862693244,0.0016689718995554,0.076511094963283
0.046569916143774,3.7076499578613,1.7268272939253e-07,0.19761749439741,0.0019525867629011,0.09056270001567
0.048063241430388,3.9490164744768,1.7638428291555e-07,0.20378421539721,0.0022888845137303,0.10584807655622
0.049407234188341,4.1713123416743,1.8143396494359e-07,0.20929910167195,0.0026904630040451,0.12245508010443
0.050616827670499,4.374997134652,1.8796387593015e-07,0.21422468988856,0.0031735344956985,0.14049977231077
0.051705461804441,4.5607157884974,1.9617255194015e-07,0.21861684715253,0.003759288883082,0.16013304119579
0.052685232524989,4.7292188006468,2.0634417579784e-07,0.22252514223498,0.0044758766285895,0.18154995392009
0.053762980317591,4.9146002421093,2.8018612757483e-07,0.22674535378231,0.0056348106205541,0.21177822093169
0.054948502889454,5.115217648952,4.192962459965e-07,0.23122373002321,0.0078242534701526,0.25888530297463
0.056252577718503,5.3169672332601,7.9362620226652e-07,0.23563970176948,0.013731850875782,0.35172073541761
0.05696981887448,5.4127963314921,6.5064825811594e-07,0.23770789239016,0.020656618314291,0.4293777674938
0.057615335914859,5.4548874905629,1.0087226438052e-06,0.23861051955641,0.035724009327037,0.55117799508853
0.05790581858303,5.4526595524371,6.0512224045767e-07,0.23856282867164,0.047613290820958,0.62445173475223
0.058225349518017,3.9749751786582,4.6691793400477e-07,0.20443495048834,0.028413235574812,0.52422989283907
0.058401091532261,3.0381910601115,1.7756879087884e-07,0.17937334551013,0.017112868365238,0.45394467602066
